name,GR,IP,ERA,W,L,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war
홍건희,65,74.1,2.78,6,6,20,1,26,3,17,5,2,7,74.1,1,4,3,1,25,15,37,14,37.8,26,7,26.9,1.14,19.57,1.58,2.67
김강률,50,51.2,2.09,3,0,14,0,10,21,3,7,0,7,77.4,2,1,3,0,19,8,19,8,42.1,5,1,20,1.03,16.76,1.73,1.97
이영하,24,33.2,1.6,4,1,11,0,14,1,2,0,2,2,60,0,0,0,2,11,13,14,2,14.3,20,3,15,1.4,20.21,1.18,1.74
이승진,47,48.1,3.91,1,4,16,1,13,2,13,0,2,2,88.2,1,2,0,1,14,10,22,5,22.7,34,13,38.2,1.03,17.74,1.07,1.3
이현승,38,23.1,1.93,5,1,16,0,3,0,7,1,1,2,77.8,0,1,1,1,11,4,37,7,18.9,14,5,35.7,0.61,8.92,1.26,0.93
김명신,57,65.1,4.13,3,2,13,2,21,0,2,1,1,2,50,0,1,1,0,9,7,44,13,29.5,19,7,36.8,1.15,18.47,0.77,0.39
윤명준,45,45.2,4.73,1,0,10,1,13,0,1,0,0,0,100,0,0,0,0,4,7,34,5,14.7,19,7,36.8,1.01,16.89,0.67,0.35
권휘,24,20.1,2.66,0,0,2,0,4,0,1,0,0,0,100,0,1,0,0,2,2,13,6,46.2,14,1,7.1,0.85,16.96,0.45,0.33
박소준,17,40,4.27,0,1,1,0,13,0,0,0,0,0,,0,0,0,0,1,7,11,4,36.4,16,4,25,2.35,41.94,0.63,0.28
최승용,13,14.2,3.07,0,0,1,0,5,0,2,0,0,0,100,0,0,0,0,2,2,12,5,41.7,8,0,0,1.13,19,0.61,0.26
박치국,23,22,4.09,2,1,7,0,6,0,8,1,1,2,80,0,2,1,1,8,4,16,6,37.5,12,4,33.3,0.96,15,1.54,0.24
최세창,1,1.1,0,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1.33,17,0.03,0.06
박웅,10,11.2,5.4,0,0,1,0,3,0,0,0,0,0,,0,0,0,0,0,0,5,2,40,0,0,,1.17,17.9,0.05,0.05
김도윤,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,,1,17,0.02,0.04
김민규,25,33.1,5.94,2,2,3,1,11,0,1,0,1,1,50,0,1,0,1,6,8,18,2,11.1,14,6,42.9,1.33,23.68,0.7,0.01
조제영,5,9.1,6.75,0,0,0,0,3,0,0,0,0,0,,0,0,0,0,0,1,3,2,66.7,3,1,33.3,1.87,36.6,0.15,-0.01
문대원,2,1.1,6.75,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,1,50,0,0,,0.67,22,0.09,-0.02
남호,5,2.2,10.13,0,1,1,0,0,0,0,0,0,0,,0,0,0,0,0,2,2,0,0,3,2,66.7,0.53,11.2,0.83,-0.03
고봉재,1,1.1,27,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,,1.33,30,,-0.12
박정수,7,5.2,7.94,0,1,1,0,1,0,0,0,0,0,,0,0,0,0,0,3,5,4,80,5,5,100,0.81,15.57,0.37,-0.15
유재유,4,3.1,10.8,0,0,1,0,1,0,0,0,0,0,,0,0,0,0,0,0,5,3,60,0,0,,0.83,20,0.31,-0.16
이형범,4,2.2,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2,3,2,66.7,5,0,0,0.67,17,1.35,-0.18
현도훈,3,3.1,18.9,0,0,0,0,2,0,0,0,0,0,,0,0,0,0,0,1,2,0,0,8,4,50,1.11,32,0.26,-0.22
이교훈,11,8.1,10.8,0,0,3,1,2,0,0,0,0,0,,0,0,0,0,0,1,7,2,28.6,2,1,50,0.76,15.09,0.19,-0.3
장원준,32,18.2,6.75,0,1,10,3,2,1,4,0,0,0,100,0,1,0,0,1,7,28,5,17.9,24,7,29.2,0.58,12.19,1.06,-0.32
곽빈,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,8,10,0,0,,25,7,28,,,,
로켓,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,0,0,,9,3,33.3,,,,
유희관,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,3,11,0,0,,8,3,37.5,,,,
최원준,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,16,9,0,0,,22,6,27.3,,,,
미란다,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,18,9,0,0,,8,1,12.5,,,,
