Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP
미란다,7.49,28,28,0,1,1,1,14,5,0,0,173.2,45,49,48.3,709,135,21,1,11,63,1,0,225,3,1,7,2.33,2.54,2.5,2.73,2.42,1.14
최원준,4.89,29,29,0,0,0,0,12,4,0,0,158.1,58,65,62.25,673,160,31,4,15,37,10,1,113,5,0,0,3.3,3.69,3.54,3.75,4.01,1.24
로켓,4.42,21,21,0,1,1,0,9,9,0,0,124,41,44,42.8,540,132,20,2,5,42,12,1,112,3,1,1,2.98,3.19,3.11,3.35,3.34,1.4
홍건희,2.67,65,0,65,11,0,0,6,6,3,17,74.1,23,23,27.1,303,65,11,0,3,27,0,0,82,0,1,7,2.78,2.78,3.28,3.36,2.62,1.24
곽빈,2.42,21,21,0,0,0,0,4,7,0,0,98.2,45,50,46.2,455,78,17,3,7,79,12,0,96,2,1,6,4.1,4.56,4.21,4.32,5.04,1.59
김강률,1.97,50,0,50,43,0,0,3,0,21,3,51.2,12,15,17.9,230,54,7,2,2,25,1,4,41,3,0,4,2.09,2.61,3.12,3.32,3.68,1.53
이승진,1.3,47,0,47,9,0,0,1,4,2,13,48.1,21,24,19.4,210,41,3,0,3,31,2,2,28,2,2,2,3.91,4.47,3.61,3.76,5.11,1.49
이현승,0.93,38,0,38,1,0,0,5,1,0,7,23.1,5,6,6.65,90,16,2,0,1,6,0,1,20,3,0,0,1.93,2.31,2.57,2.84,2.8,0.94
김명신,0.36,58,1,57,11,0,0,3,2,0,2,67,32,37,40.3,289,72,14,3,6,14,6,1,43,7,0,1,4.3,4.97,5.41,5.79,4.15,1.28
윤명준,0.35,45,0,45,14,0,0,1,0,0,1,45.2,24,28,26.45,208,53,6,0,3,20,4,2,26,3,1,1,4.73,5.52,5.21,5.58,4.69,1.6
권휘,0.33,24,0,24,7,0,0,0,0,0,1,20.1,6,6,9.25,92,16,3,0,0,14,2,0,15,2,0,3,2.66,2.66,4.09,4.58,4.36,1.48
이영하,0.33,35,11,24,4,0,0,5,6,1,2,78.2,55,58,56.95,364,81,18,0,9,57,1,0,53,3,0,7,6.29,6.64,6.52,6.78,5.73,1.75
박치국,0.24,23,0,23,3,0,0,2,1,0,8,22,10,11,12.45,95,21,5,0,2,11,1,3,20,1,0,1,4.09,4.5,5.09,5.14,3.99,1.45
김민규,0.14,31,6,25,7,0,0,2,3,0,1,56.1,38,40,37.95,262,64,10,0,9,28,4,0,39,3,0,3,6.07,6.39,6.06,6.32,5.7,1.63
최세창,0.06,1,0,1,1,0,0,0,0,0,0,1.1,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.09,1.5
박웅,0.05,10,0,10,6,0,0,0,0,0,0,11.2,7,7,7.85,49,12,1,1,0,4,3,0,7,0,0,0,5.4,5.4,6.06,6.48,4.13,1.37
김도윤,0.04,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-1.23,0
최승용,0.03,15,2,13,1,0,0,0,0,0,2,18.1,8,10,12.45,83,20,3,1,3,10,1,0,16,3,0,0,3.93,4.91,6.11,6.31,5.39,1.64
문대원,-0.02,2,0,2,1,0,0,0,0,0,0,1.1,1,1,1.35,9,2,0,0,1,2,0,0,1,1,0,0,6.75,6.75,9.11,9.12,15.47,3
남호,-0.03,5,0,5,1,0,0,0,1,0,0,2.2,3,3,2,13,3,1,0,0,3,0,0,2,0,0,0,10.13,10.13,6.75,7.58,5.38,2.25
박소준,-0.04,22,5,17,4,0,0,0,4,0,0,59.2,38,42,41.8,274,69,10,1,3,29,3,0,33,1,0,3,5.73,6.34,6.31,6.69,4.65,1.64
고봉재,-0.12,1,0,1,0,0,0,0,0,0,0,1.1,4,4,4,8,5,0,0,1,0,0,0,0,0,0,0,27,27,27,24.28,12.69,3.75
유재유,-0.16,4,0,4,2,0,0,0,0,0,0,3.1,4,4,5.2,19,4,0,0,2,5,0,0,1,0,0,1,10.8,10.8,14.04,13.44,14.81,2.7
이형범,-0.18,4,0,4,2,0,0,0,0,0,0,2.2,0,2,3.35,16,2,0,0,0,5,1,0,2,1,0,0,0,6.75,11.31,11.29,8.87,2.63
현도훈,-0.25,5,2,3,0,0,0,0,0,0,0,8.2,12,12,10.3,46,9,1,0,1,13,0,0,9,0,0,1,12.46,12.46,10.7,11.24,7.19,2.54
이교훈,-0.3,11,0,11,4,0,0,0,0,0,0,8.1,10,10,10.55,43,13,3,0,2,3,1,0,8,1,0,0,10.8,10.8,11.39,12.43,5.71,1.92
장원준,-0.32,32,0,32,2,0,0,0,1,1,4,18.2,14,15,14.25,95,20,3,0,1,18,2,0,8,1,0,1,6.75,7.23,6.87,7.66,6.65,2.04
조제영,-0.37,6,1,5,3,0,0,0,1,0,0,10.2,13,13,13.85,60,18,3,0,1,10,1,1,5,1,0,1,10.97,10.97,11.69,11.82,6.91,2.63
유희관,-0.57,15,15,0,0,0,0,4,7,0,0,63,54,57,55.6,314,107,14,3,10,24,3,0,23,2,0,0,7.71,8.14,7.94,8.44,6.07,2.08
박정수,-0.58,9,2,7,5,0,0,0,3,0,0,14.1,18,20,19.5,74,22,5,0,3,6,2,0,15,2,0,2,11.3,12.56,12.24,12.54,5.37,1.95
