Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD_1,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP_2,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
미란다,7.49,28,28,0,1,1,1,14,5,0,0,173.2,45,49,48.3,709,135,21,1,11,63,1,0,225,3,1,7,2.33,2.54,2.5,2.73,2.42,1.14,11.66,3.27,3.57,0.57,31.7,8.9,22.8,0.305,81.5,1.75,2.66,-0.09,55.74,59.22,57.94,0.212,0.282,0.299,0.581,2918,104.2,16.8,4.12,21,75,12,42.9,4,0,0,104,5.4,18,10,64.3,0,0,8,1,12.5,6.2,104.21,62.46,4.4,7.49,0,0,0,0,0,0,0,0,,0,0,0,0,18,9,0,0,,8,1,12.5,,,,,0.305,406,37.1,7.1,53.6,60.7,2.1,0.6,4.3,11.9,,,,,,
최원준,4.89,29,29,0,0,0,0,12,4,0,0,158.1,58,65,62.25,673,160,31,4,15,37,10,1,113,5,0,0,3.3,3.69,3.54,3.75,4.01,1.24,6.42,2.1,3.05,0.85,16.8,5.5,11.3,0.295,76.3,3,4.04,-0.71,78.81,81.44,95.87,0.26,0.31,0.396,0.706,2677,92.3,16.9,3.98,15,51.7,4,13.8,8,0,0,113,6.4,21,7,75,0,0,22,6,27.3,5.46,92.31,52.38,2.08,4.89,0,0,0,0,0,0,0,0,,0,0,0,0,16,9,0,0,,22,6,27.3,,,,,0.295,492,34.1,6.6,56.3,63,2.9,0.5,4.6,3.1,,,,,,
로켓,4.42,21,21,0,1,1,0,9,9,0,0,124,41,44,42.8,540,132,20,2,5,42,12,1,112,3,1,1,2.98,3.19,3.11,3.35,3.34,1.4,8.13,3.05,2.67,0.36,20.7,7.8,13,0.349,79.3,2.93,3.84,-0.36,71.13,72.73,79.8,0.277,0.348,0.358,0.706,2019,96.1,16.3,3.74,14,66.7,3,14.3,2,0,0,82,6,10,10,50,0,0,9,3,33.3,5.9,96.14,54,2.21,4.42,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,0,0,,9,3,33.3,,,,,0.349,364,60.4,3.5,34.8,38.2,1.3,1.6,3.5,7.6,,,,,,
홍건희,2.67,65,0,65,11,0,0,6,6,3,17,74.1,23,23,27.1,303,65,11,0,3,27,0,0,82,0,1,7,2.78,2.78,3.28,3.36,2.62,1.24,9.93,3.27,3.04,0.36,27.1,8.9,18.2,0.328,78.4,2.21,3.22,0.17,66.57,72.97,62.51,0.239,0.306,0.313,0.619,1272,19.6,17.1,4.2,0,,0,,0,0,0,40,,0,0,,0,0,26,7,26.9,,,,,,20,1,26,3,17,5,2,7,74.1,1,4,3,1,25,15,37,14,37.8,26,7,26.9,1.14,19.57,1.58,2.67,0.328,189,51.5,5.2,43.3,48.5,0,1.1,3.2,9.2,,,,,,
곽빈,2.42,21,21,0,0,0,0,4,7,0,0,98.2,45,50,46.2,455,78,17,3,7,79,12,0,96,2,1,6,4.1,4.56,4.21,4.32,5.04,1.59,8.76,7.21,1.22,0.64,21.1,17.4,3.7,0.281,74.8,4.3,4.95,-0.93,98.12,93.68,120.42,0.221,0.378,0.346,0.724,1877,89.4,19,4.13,1,4.8,0,0,16,0,0,50,4.6,7,11,38.9,0,0,25,7,28,4.7,89.38,49.76,0.66,2.42,0,0,0,0,0,0,0,0,,0,0,0,0,8,10,0,0,,25,7,28,,,,,0.281,253,31.3,9.7,56.3,66,2.6,0.5,4,5.1,,,,,,
김강률,1.97,50,0,50,43,0,0,3,0,21,3,51.2,12,15,17.9,230,54,7,2,2,25,1,4,41,3,0,4,2.09,2.61,3.12,3.32,3.68,1.53,7.14,4.36,1.64,0.35,17.8,10.9,7,0.327,84.4,3.31,4.57,-1.59,49.97,71.97,88.05,0.271,0.351,0.357,0.708,838,16.8,16.2,3.64,0,,0,,0,0,0,5,,0,0,,0,0,5,1,20,,,,,,14,0,10,21,3,7,0,7,77.4,2,1,3,0,19,8,19,8,42.1,5,1,20,1.03,16.76,1.73,1.97,0.327,159,49.1,6.1,43.6,49.7,1.2,1,2.5,11.1,,,,,,
이승진,1.3,47,0,47,9,0,0,1,4,2,13,48.1,21,24,19.4,210,41,3,0,3,31,2,2,28,2,2,2,3.91,4.47,3.61,3.76,5.11,1.49,5.21,5.77,0.9,0.56,13.3,14.8,-1.4,0.266,71.4,4.47,5.57,-1.2,93.47,81.67,122.14,0.238,0.357,0.308,0.665,834,17.7,17.3,3.97,0,,0,,0,0,0,20,,0,0,,0,0,34,13,38.2,,,,,,16,1,13,2,13,0,2,2,88.2,1,2,0,1,14,10,22,5,22.7,34,13,38.2,1.03,17.74,1.07,1.3,0.266,143,43,2.7,52.3,55,2,0.8,3.7,7.3,,,,,,
이현승,0.93,38,0,38,1,0,0,5,1,0,7,23.1,5,6,6.65,90,16,2,0,1,6,0,1,20,3,0,0,1.93,2.31,2.57,2.84,2.8,0.94,7.71,2.31,3.33,0.39,22.2,6.7,15.6,0.238,76.2,2.38,3.53,-0.87,46.1,61.53,66.89,0.195,0.244,0.256,0.5,339,8.9,14.5,3.77,0,,0,,0,0,0,13,,0,0,,0,0,14,5,35.7,,,,,,16,0,3,0,7,1,1,2,77.8,0,1,1,1,11,4,37,7,18.9,14,5,35.7,0.61,8.92,1.26,0.93,0.238,63,39.1,4.7,51.6,56.3,4.7,0.7,2.8,12.5,,,,,,
김명신,0.36,58,1,57,11,0,0,3,2,0,2,67,32,37,40.3,289,72,14,3,6,14,6,1,43,7,0,1,4.3,4.97,5.41,5.79,4.15,1.28,5.78,1.88,3.07,0.81,14.9,4.8,10,0.307,65.5,3.18,4.2,0.15,102.75,125.75,99.28,0.279,0.324,0.426,0.75,1092,18.8,16.3,3.78,0,0,0,0,1,0,0,49,100,1,0,100,0,0,19,7,36.8,1.67,39,37,-0.06,-0.03,13,2,21,0,2,1,1,2,50,0,1,1,0,9,7,44,13,29.5,19,7,36.8,1.15,18.47,0.77,0.39,0.307,215,51.3,2.2,42.9,45.1,3.5,1.1,5.9,5.6,,,,,,
윤명준,0.35,45,0,45,14,0,0,1,0,0,1,45.2,24,28,26.45,208,53,6,0,3,20,4,2,26,3,1,1,4.73,5.52,5.21,5.58,4.69,1.6,5.12,3.94,1.3,0.59,12.5,9.6,2.9,0.336,67.1,4.01,5.05,0.04,113.06,121.06,112.03,0.303,0.381,0.389,0.77,760,16.9,16.6,3.65,0,,0,,0,0,0,43,,0,0,,0,0,19,7,36.8,,,,,,10,1,13,0,1,0,0,0,100,0,0,0,0,4,7,34,5,14.7,19,7,36.8,1.01,16.89,0.67,0.35,0.336,149,46.8,5.7,46.2,51.9,1.3,0.9,3.7,7.5,,,,,,
