Name,FIP,G,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,ERA,RA9,rRA9,rRA9pf,FIP,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA
홍건희,3.42,58,8.71,3.05,2.86,0.73,22.6,7.9,14.7,0.31,68.9,3.48,4.35,4.62,4.89,3.42,2.54,3.63,0.06,90.02,112.87,88.48,0.25,0.313,0.353,0.666,1009,17.4,16.3,3.81
박정수,3.68,13,8.24,4.12,2,0.46,21.7,10.8,10.8,0.296,76.9,3.2,3.2,3.94,4.23,3.68,3.15,4.1,-0.47,82.77,97.61,95.02,0.233,0.325,0.301,0.626,337,25.9,17.1,4.06
김명신,3.71,68,6.89,2.82,2.44,0.57,18.3,7.5,10.8,0.297,72.9,3.62,3.73,4.07,4.38,3.71,3.05,4.1,-0.09,93.41,100.98,95.76,0.253,0.312,0.348,0.66,1274,18.7,16,3.83
정철원,3.93,58,5.82,3.22,1.81,0.5,16,8.8,7.1,0.267,75.6,3.1,3.22,3.7,3.75,3.93,3.35,4.54,-0.84,80,86.63,101.58,0.232,0.304,0.34,0.644,1162,20,16,3.95
곽빈,3.99,27,8.41,3.66,2.3,0.79,21.4,9.3,12.1,0.313,74,3.78,4.21,3.95,4.13,3.99,3.03,3.95,-0.21,97.64,95.27,102.99,0.253,0.335,0.375,0.71,2565,95,17.4,3.98
스탁,4.09,29,7.53,4.53,1.66,0.49,19.1,11.5,7.6,0.319,69.4,3.6,4.75,4.58,4.74,4.09,3.51,4.49,-0.49,93.02,109.5,105.67,0.26,0.355,0.348,0.703,2876,99.2,17.4,3.98
박치국,4.14,15,9.26,6.94,1.33,0,23.5,17.6,5.9,0.231,55.6,5.4,6.17,4.36,4.54,4.14,4.19,4.69,1.26,139.53,104.74,106.86,0.158,0.36,0.158,0.518,199,13.3,17.1,3.9
장원준,4.21,27,3.71,3.71,1,0,9,9,0,0.371,74.2,3.71,4.24,6.17,6.64,4.21,4.3,5.4,-0.51,95.75,153.34,108.87,0.338,0.403,0.382,0.785,290,10.7,17.1,3.72
이영하,4.23,21,7.57,5.2,1.46,0.46,18,12.3,5.6,0.342,64.8,4.93,5.93,5.57,5.96,4.23,3.71,4.72,0.69,127.27,137.5,109.35,0.283,0.378,0.364,0.742,1838,87.5,18.6,3.98
이형범,4.3,31,4.94,3.19,1.55,0.29,12,7.7,4.2,0.303,66.7,4.35,4.94,5.52,5.93,4.3,4.01,4.89,0.06,112.52,136.9,111.03,0.27,0.345,0.349,0.694,550,17.7,17.7,3.87
브랜든,4.35,11,5.54,3.32,1.67,0.69,14.5,8.7,5.8,0.251,70.3,3.6,4.02,3.9,4.03,4.35,3.52,4.7,-0.75,93.02,93.05,112.48,0.228,0.297,0.329,0.626,1103,100.3,17,4
김강률,4.36,26,5.47,2.92,1.88,0.73,13.6,7.3,6.4,0.317,71.4,4.38,4.74,6.13,6.53,4.36,3.5,4.64,0.02,113.13,150.67,112.65,0.295,0.349,0.421,0.77,395,15.2,16,3.59
최원준,4.41,30,6.16,2.02,3.05,1.15,15.8,5.2,10.7,0.306,74.2,3.6,4.36,4.18,4.35,4.41,3.02,4.12,-0.81,93.02,100.43,114.03,0.279,0.321,0.428,0.749,2755,91.8,16.7,3.86
최지강,4.5,2,10.8,10.8,1,0,18.2,18.2,0,0.857,50,21.6,21.6,18.9,20.18,4.5,4.67,5.4,17.1,558.11,465.71,116.38,0.667,0.727,0.778,1.505,56,28,33.6,5.09
최승용,4.58,48,6.17,4.15,1.49,0.77,15.1,10.2,5,0.318,65.2,5.3,5.69,5.03,5.23,4.58,3.66,4.8,0.72,137.04,120.66,118.46,0.278,0.356,0.404,0.76,1763,36.7,18.9,4.17
임창민,4.64,32,6.92,3.29,2.1,0.99,16.9,8.1,8.9,0.264,68.6,3.95,4.94,6.29,6.61,4.64,3.42,4.34,-0.69,102.09,152.58,119.99,0.234,0.315,0.324,0.639,492,15.4,18,3.97
이승진,4.66,35,8.33,3.45,2.42,1.44,20.7,8.6,12.1,0.323,56.1,6.61,7.18,6.51,6.93,4.66,2.86,3.94,1.95,170.7,159.83,120.29,0.28,0.343,0.416,0.759,564,16.1,18,4.03
권휘,5.71,10,4.82,4.82,1,0.96,12.5,12.5,0,0.25,61.5,5.79,5.79,5.64,6.17,5.71,4.51,5.4,0.07,149.49,142.38,147.61,0.242,0.35,0.333,0.683,187,18.7,20,4.68
이현승,5.72,23,9.35,4.15,2.25,2.08,20.9,9.3,11.6,0.407,80,6.23,6.23,10.75,11.64,5.72,3.08,4,0.51,160.99,268.59,147.86,0.351,0.419,0.649,1.068,160,7,18.5,3.72
박신지,5.86,29,5.55,5.84,0.95,1.02,12.1,12.8,-0.6,0.355,66.4,6.71,7.3,7.2,7.5,5.86,4.61,5.48,0.86,173.47,172.98,151.32,0.326,0.42,0.461,0.881,1199,41.3,19.4,3.83
김지용,6.14,18,6.05,2.33,2.6,2.33,15.9,6.1,9.8,0.241,61.1,6.05,6.52,6.19,6.47,6.14,3.18,4.23,-0.09,156.37,149.29,158.72,0.25,0.305,0.487,0.792,321,17.8,16.6,3.91
박웅,6.15,8,4.5,10.5,0.43,0,9.1,21.2,-12.1,0.304,78.6,3,4.5,4.2,4.28,6.15,6.27,6.85,-3.15,77.51,98.71,158.93,0.269,0.424,0.269,0.693,126,15.8,21,3.82
이병헌,6.24,9,9,12.6,0.71,0,17.9,25,-7.1,0.333,84.6,3.6,3.6,3.51,3.61,6.24,6.34,6.26,-2.64,93.02,83.2,161.34,0.25,0.464,0.3,0.764,124,13.8,24.8,4.43
김동주,7.08,10,7.02,4.86,1.44,2.7,15.3,10.6,4.7,0.31,72,7.56,7.56,8.02,8.81,7.08,3.6,4.84,0.48,195.34,203.34,182.89,0.303,0.376,0.513,0.889,328,32.8,19.7,3.86
윤명준,7.48,20,6.05,3.22,1.88,3.22,13.8,7.3,6.4,0.338,58.1,8.46,9.67,10.16,10.65,7.48,3.32,4.63,0.98,218.66,245.74,193.22,0.347,0.396,0.705,1.101,399,20,17.9,3.66
전창민,8.19,9,2.89,7.71,0.38,1.93,5.8,15.4,-9.6,0.385,22.7,19.29,19.29,18.13,17.43,8.19,5.75,6.55,11.1,498.31,402.15,211.56,0.395,0.481,0.674,1.155,190,21.1,20.4,3.65
미란다,8.86,3,9.39,21.13,0.44,0,18.6,41.9,-23.3,0.133,66.7,8.22,8.22,8.22,9.21,8.86,8.94,8.19,-0.64,212.32,212.57,228.88,0.087,0.5,0.174,0.674,175,58.3,22.8,4.07
