name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war
곽빈,27,27,147.2,3.78,8,9,10,37,4,14.8,11,0,0,61,3.7,10,17,37,0,0,23,7,30.4,5.47,95,51.96,0.64,3.27
최원준,30,30,165,3.6,8,13,16,53.3,2,6.7,6,0,0,79,4.3,10,20,33.3,0,0,20,6,30,5.5,91.83,50.1,0.29,3.23
스탁,29,29,165,3.6,9,10,15,51.7,8,27.6,4,0,0,102,5.6,16,13,55.2,0,0,12,6,50,5.69,99.17,50.69,-0.4,2.53
브랜든,11,11,65,3.6,5,3,5,45.5,3,27.3,3,0,0,27,3.7,6,5,54.5,0,0,3,2,66.7,5.91,100.27,52.64,0.35,1.51
이영하,21,20,98,4.87,6,7,6,30,2,10,7,0,0,66,6.1,8,10,44.4,0,0,17,8,47.1,4.9,90.8,45.6,-1.28,0.46
최승용,48,15,64.2,5.57,1,5,2,13.3,0,0,7,0,0,64,8.9,7,8,46.7,0,0,33,16,48.5,4.31,80.67,43.73,-0.74,0.41
미란다,3,3,7.2,8.22,0,0,0,0,0,0,2,0,0,5,5.9,1,2,33.3,0,0,3,0,0,2.56,58.33,43.67,-0.28,-0.14
박신지,29,9,32,8.16,1,6,0,0,0,0,4,0,0,19,5.3,2,7,22.2,0,0,23,10,43.5,3.56,69,37.89,-0.84,-0.27
김동주,10,0,0,,0,0,0,,0,,0,0,0,8,,0,0,,0,0,4,2,50,,,,,
홍건희,58,0,0,,0,0,0,,0,,0,0,0,15,,0,0,,0,0,7,4,57.1,,,,,
박웅,8,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,4,1,25,,,,,
이병헌,9,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,5,2,40,,,,,
임창민,32,0,0,,0,0,0,,0,,0,0,0,10,,0,0,,0,0,15,4,26.7,,,,,
이형범,31,0,0,,0,0,0,,0,,0,0,0,16,,0,0,,0,0,14,7,50,,,,,
박치국,15,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,13,6,46.2,,,,,
권휘,10,0,0,,0,0,0,,0,,0,0,0,6,,0,0,,0,0,4,2,50,,,,,
이현승,23,0,0,,0,0,0,,0,,0,0,0,5,,0,0,,0,0,10,3,30,,,,,
김지용,18,0,0,,0,0,0,,0,,0,0,0,9,,0,0,,0,0,4,3,75,,,,,
이승진,35,0,0,,0,0,0,,0,,0,0,0,13,,0,0,,0,0,18,9,50,,,,,
최지강,2,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,3,3,100,,,,,
김강률,26,0,0,,0,0,0,,0,,0,0,0,9,,0,0,,0,0,3,0,0,,,,,
박정수,13,0,0,,0,0,0,,0,,0,0,0,10,,0,0,,0,0,8,2,25,,,,,
전창민,9,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,5,4,80,,,,,
장원준,27,0,0,,0,0,0,,0,,0,0,0,1,,0,0,,0,0,20,5,25,,,,,
윤명준,20,0,0,,0,0,0,,0,,0,0,0,11,,0,0,,0,0,7,3,42.9,,,,,
김명신,68,0,0,,0,0,0,,0,,0,0,0,28,,0,0,,0,0,31,12,38.7,,,,,
정철원,58,0,0,,0,0,0,,0,,0,0,0,65,,0,0,,0,0,18,8,44.4,,,,,
