Name,War,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,Rra,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,wild pitch,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,BABIP,LOB,xFIP,kwERA,ERA-FIP,ERA-,rRA9-,FIP-,AVG,OBP,SLG,OPS,NP,P/G,P/IP,P/PA,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,strat BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter waa,starter war,2time,3time,plus 1,SV,HD,BLSV,BLHD,BL+,save%,TS,TH,TBS,TBH,SD,MD,IR,IRS,IRS%,BQ,BQS,BQS%,IP/GR,P/GR,gmLI,closer war,BABIP,BIP,GB%,ifFB%,ofFB%,FB%,LD%,GB/FB,HR/FB%,if1B%,PFR,PF1,PF2,PF3,PFH,PFslg
곽빈,3.27,27,27,0,0,0,0,8,9,0,0,147.2,62,69,64.85,645,143,30,0,13,60,11,1,138,7,1,9,3.78,4.21,3.95,4.13,3.99,1.37,8.41,3.66,2.3,0.79,21.4,9.3,12.1,0.313,74,3.03,3.95,-0.21,97.64,95.27,102.99,0.253,0.335,0.375,0.71,2565,95,17.4,3.98,10,37,4,14.8,11,0,0,61,3.7,10,17,37,0,0,23,7,30.4,5.47,95,51.96,0.64,3.27,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,0,0,,23,7,30.4,,,,,0.313,416,37.6,8.5,51.6,60.1,2.3,0.6,5,6.3,892,1008,865,1310,686,905
최원준,3.23,30,30,0,0,0,0,8,13,0,0,165,66,80,76.7,713,183,31,2,21,37,7,0,113,10,1,1,3.6,4.36,4.18,4.35,4.41,1.33,6.16,2.02,3.05,1.15,15.8,5.2,10.7,0.306,74.2,3.02,4.12,-0.81,93.02,100.43,114.03,0.279,0.321,0.428,0.749,2755,91.8,16.7,3.86,16,53.3,2,6.7,6,0,0,79,4.3,10,20,33.3,0,0,20,6,30,5.5,91.83,50.1,0.29,3.23,0,0,0,0,0,0,0,0,,0,0,0,0,13,13,0,0,,20,6,30,,,,,0.306,529,32,7.4,58.3,65.6,2.3,0.5,5.8,6.6,892,1008,865,1310,686,905
스탁,2.53,29,29,0,0,0,0,9,10,0,0,165,66,87,83.95,722,162,24,2,9,83,10,0,138,9,0,12,3.6,4.75,4.58,4.74,4.09,1.48,7.53,4.53,1.66,0.49,19.1,11.5,7.6,0.319,69.4,3.51,4.49,-0.49,93.02,109.5,105.67,0.26,0.355,0.348,0.703,2876,99.2,17.4,3.98,15,51.7,8,27.6,4,0,0,102,5.6,16,13,55.2,0,0,12,6,50,5.69,99.17,50.69,-0.4,2.53,0,0,0,0,0,0,0,0,,0,0,0,0,10,12,0,0,,12,6,50,,,,,0.319,479,56.4,4.1,36.3,40.3,3.3,1.4,4.5,15.4,892,1008,865,1310,686,905
정철원,1.78,58,0,58,9,0,0,4,3,3,23,72.2,25,26,29.9,294,60,12,2,4,26,2,2,47,2,0,7,3.1,3.22,3.7,3.75,3.93,1.18,5.82,3.22,1.81,0.5,16,8.8,7.1,0.267,75.6,3.35,4.54,-0.84,80,86.63,101.58,0.232,0.304,0.34,0.644,1162,20,16,3.95,0,,0,,0,0,0,65,,0,0,,0,0,18,8,44.4,,,,,,13,3,27,3,23,3,2,5,83.9,1,4,2,2,28,14,36,13,36.1,18,8,44.4,1.25,20.03,1.55,1.78,0.267,210,53.9,5.5,37.4,42.9,3.2,1.3,4.3,10,892,1008,865,1310,686,905
브랜든,1.51,11,11,0,0,0,0,5,3,0,0,65,26,29,28.15,276,56,10,0,5,24,1,0,40,7,1,2,3.6,4.02,3.9,4.03,4.35,1.23,5.54,3.32,1.67,0.69,14.5,8.7,5.8,0.251,70.3,3.52,4.7,-0.75,93.02,93.05,112.48,0.228,0.297,0.329,0.626,1103,100.3,17,4,5,45.5,3,27.3,3,0,0,27,3.7,6,5,54.5,0,0,3,2,66.7,5.91,100.27,52.64,0.35,1.51,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,0,0,,3,2,66.7,,,,,0.251,203,54,7.1,37.4,44.5,1.4,1.2,5.3,8.9,892,1008,865,1310,686,905
김명신,1.18,68,0,68,11,0,0,3,3,0,10,79.2,32,33,36,333,75,9,2,5,25,3,0,61,0,0,4,3.62,3.73,4.07,4.38,3.71,1.26,6.89,2.82,2.44,0.57,18.3,7.5,10.8,0.297,72.9,3.05,4.1,-0.09,93.41,100.98,95.76,0.253,0.312,0.348,0.66,1274,18.7,16,3.83,0,,0,,0,0,0,28,,0,0,,0,0,31,12,38.7,,,,,,17,1,26,0,10,0,1,1,90.9,0,1,0,1,13,9,43,20,46.5,31,12,38.7,1.17,18.74,0.88,1.18,0.297,236,46.7,4.9,46.7,51.6,1.6,0.9,4,5.3,892,1008,865,1310,686,905
최승용,0.85,48,15,33,2,0,0,3,7,0,5,93.1,55,59,52.15,423,104,15,4,8,43,2,0,64,9,1,1,5.3,5.69,5.03,5.23,4.58,1.58,6.17,4.15,1.49,0.77,15.1,10.2,5,0.318,65.2,3.66,4.8,0.72,137.04,120.66,118.46,0.278,0.356,0.404,0.76,1763,36.7,18.9,4.17,2,13.3,0,0,7,0,0,64,8.9,7,8,46.7,0,0,33,16,48.5,4.31,80.67,43.73,-0.74,0.41,8,0,10,0,5,0,1,1,83.3,0,1,0,0,11,14,20,4,20,33,16,48.5,0.87,16.76,1.03,0.43,0.318,302,44.3,5.1,49.4,54.5,1.3,0.8,4.7,12.5,892,1008,865,1310,686,905
홍건희,0.49,58,0,58,38,0,0,2,9,18,9,62,24,30,31.85,265,58,9,0,5,21,2,3,60,2,0,4,3.48,4.35,4.62,4.89,3.42,1.27,8.71,3.05,2.86,0.73,22.6,7.9,14.7,0.31,68.9,2.54,3.63,0.06,90.02,112.87,88.48,0.25,0.313,0.353,0.666,1009,17.4,16.3,3.81,0,,0,,0,0,0,15,,0,0,,0,0,7,4,57.1,,,,,,13,2,14,18,9,4,0,4,87.1,1,2,2,0,22,11,24,9,37.5,7,4,57.1,1.07,17.4,1.59,0.49,0.31,171,52.7,6.6,38.5,45.1,2.2,1.2,6.1,6.9,892,1008,865,1310,686,905
박정수,0.32,13,0,13,2,0,0,1,1,0,0,19.2,7,7,8.6,83,17,2,0,1,9,1,0,18,1,0,1,3.2,3.2,3.94,4.23,3.68,1.32,8.24,4.12,2,0.46,21.7,10.8,10.8,0.296,76.9,3.15,4.1,-0.47,82.77,97.61,95.02,0.233,0.325,0.301,0.626,337,25.9,17.1,4.06,0,,0,,0,0,0,10,,0,0,,0,0,8,2,25,,,,,,2,0,7,0,0,0,1,1,0,0,0,0,1,0,1,16,4,25,8,2,25,1.51,25.92,0.81,0.32,0.296,54,45.5,5.5,45.5,50.9,3.6,0.9,3.6,23.5,892,1008,865,1310,686,905
이영하,0.29,21,20,1,0,0,0,6,8,0,0,98.2,54,65,61.1,462,109,14,1,5,57,6,1,83,9,0,8,4.93,5.93,5.57,5.96,4.23,1.68,7.57,5.2,1.46,0.46,18,12.3,5.6,0.342,64.8,3.71,4.72,0.69,127.27,137.5,109.35,0.283,0.378,0.364,0.742,1838,87.5,18.6,3.98,6,30,2,10,7,0,0,66,6.1,8,10,44.4,0,0,17,8,47.1,4.9,90.8,45.6,-1.28,0.46,0,0,0,0,0,0,1,1,0,0,0,0,1,5,11,1,1,100,17,8,47.1,0.67,22,1.94,-0.17,0.342,304,47.5,5.4,43.7,49.1,3.5,1,3.2,4.6,892,1008,865,1310,686,905
