name,G,GS,IP,ERA,W,L,QS,QS%,QS+,QS+%,QH,TL,CW,RS,RS9,start W,start L,W%,start BW,start BL,start BQ,start BQS,start BQS%,IP/GS,P/GS,AGS,starter war,starter waa
곽빈,30,30,167.2,4.24,15,9,17,56.7,3,10,3,0,0,128,6.9,19,11,63.3,0,0,20,12,60,5.59,96.4,52.23,5,2.02
브랜든,14,14,75,3.12,7,4,10,71.4,0,0,2,0,0,47,5.6,7,6,53.8,0,0,5,4,80,5.36,91,54.5,2.47,1.14
최준호,17,15,68,4.9,3,6,3,20,0,0,8,0,0,40,5.3,8,7,53.3,0,0,13,5,38.5,4.53,75.27,48.4,1.47,0.26
발라조빅,12,11,56,4.34,2,6,2,18.2,0,0,6,0,0,14,2.3,3,8,27.3,0,0,12,2,16.7,5.09,94.91,51,1.47,0.47
최원준,24,24,110,6.46,6,7,3,12.5,0,0,10,0,0,79,6.5,12,12,50,0,0,21,15,71.4,4.58,80.38,43.08,1.42,-0.54
알칸타라,12,12,64.1,4.76,2,2,5,41.7,3,25,2,0,0,31,4.3,7,5,58.3,0,0,7,1,14.3,5.36,86.92,49.08,1.36,0.21
김민규,13,4,16.2,3.78,0,1,0,0,0,0,3,0,0,11,5.9,2,2,50,0,0,10,7,70,4.17,68.5,50.25,0.71,0.42
최승용,12,6,21.1,6.33,2,0,1,16.7,0,0,4,0,0,25,10.5,3,3,50,0,0,11,2,18.2,3.56,59.67,45.67,0.27,-0.11
시라카와,7,7,34.1,6.03,2,3,1,14.3,1,14.3,2,0,0,43,11.3,3,4,42.9,0,0,9,3,33.3,4.9,89.57,43.71,0.26,-0.35
김유성,17,7,17.1,5.71,1,1,0,0,0,0,7,0,0,30,15.6,6,1,85.7,0,0,18,9,50,2.48,53.29,45.86,0.25,-0.06
이영하,59,1,3.1,2.7,0,0,0,0,0,0,1,0,0,26,70.2,1,0,100,0,0,22,9,40.9,3.33,63,47,0.19,0.13
박신지,6,1,1,0,0,0,0,0,0,0,1,0,0,8,72,0,1,0,0,0,2,1,50,1,18,49,0.07,0.05
김동주,14,9,40.2,6.64,1,3,0,0,0,0,4,0,0,23,5.1,3,5,37.5,0,0,14,6,42.9,4.52,83.33,39.11,-0.07,-0.79
박소준,1,1,4,11.25,0,1,0,0,0,0,0,0,0,2,4.5,0,1,0,0,0,1,0,0,4,71,30,-0.07,-0.14
김호준,16,1,1.2,27,0,1,0,0,0,0,0,0,0,4,21.6,0,1,0,0,0,9,3,33.3,1.67,46,25,-0.18,-0.21
박정수,29,1,2,27,0,1,0,0,0,0,0,0,0,22,99,0,1,0,0,0,8,3,37.5,2,47,18,-0.36,-0.4
최종인,11,0,0,,0,0,0,,0,,0,0,0,4,,0,0,,0,0,2,0,0,,,,,
최지강,55,0,0,,0,0,0,,0,,0,0,0,37,,0,0,,0,0,16,4,25,,,,,
박지호,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,1,0,0,,,,,
김강률,53,0,0,,0,0,0,,0,,0,0,0,32,,0,0,,0,0,40,11,27.5,,,,,
김명신,35,0,0,,0,0,0,,0,,0,0,0,24,,0,0,,0,0,11,2,18.2,,,,,
정철원,36,0,0,,0,0,0,,0,,0,0,0,14,,0,0,,0,0,11,5,45.5,,,,,
김도윤,2,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,0,0,,,,,,
홍건희,65,0,0,,0,0,0,,0,,0,0,0,17,,0,0,,0,0,24,4,16.7,,,,,
박치국,52,0,0,,0,0,0,,0,,0,0,0,29,,0,0,,0,0,28,8,28.6,,,,,
이교훈,33,0,0,,0,0,0,,0,,0,0,0,18,,0,0,,0,0,13,7,53.8,,,,,
이병헌,77,0,0,,0,0,0,,0,,0,0,0,48,,0,0,,0,0,43,15,34.9,,,,,
김택연,60,0,0,,0,0,0,,0,,0,0,0,29,,0,0,,0,0,9,1,11.1,,,,,
권휘,8,0,0,,0,0,0,,0,,0,0,0,2,,0,0,,0,0,7,5,71.4,,,,,
김정우,1,0,0,,0,0,0,,0,,0,0,0,0,,0,0,,0,0,1,1,100,,,,,
